Initializing Cache...LruTailAge Rebalancing init. LTAS.h-default config
LTAS::LTAS(Config config)
hit ratio:0.708837,time:81839
hit ratio:0.70926,time:82705
hit ratio:0.709798,time:83577
hit ratio:0.710273,time:84442
hit ratio:0.710715,time:85308
hit ratio:0.711153,time:86174
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:18. r:19. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.711591,time:87040
hit ratio:0.711984,time:87900
hit ratio:0.712433,time:88767
hit ratio:0.712891,time:89637
hit ratio:0.713339,time:90508
hit ratio:0.7138,time:91374
hit ratio:0.714275,time:92227
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:18. r:19. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.714698,time:93075
hit ratio:0.715153,time:93916
hit ratio:0.715561,time:94749
hit ratio:0.71597,time:95584
hit ratio:0.71633,time:96405
hit ratio:0.716744,time:97227
hit ratio:0.717181,time:98056
hit ratio:0.717661,time:98877
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:18. r:19. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.71811,time:99690
hit ratio:0.718555,time:100502
hit ratio:0.718987,time:101312
hit ratio:0.719438,time:102104
hit ratio:0.71989,time:102901
hit ratio:0.720319,time:103693
hit ratio:0.720744,time:104476
hit ratio:0.721207,time:105238
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:18. r:19. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.72166,time:105994
hit ratio:0.722117,time:106743
hit ratio:0.722594,time:107474
hit ratio:0.72306,time:108170
hit ratio:0.723531,time:108872
hit ratio:0.723964,time:109577
alloc failed. 110263,18446744072161380024,1047,74289992
RebStrtgy-pickVAndR...found class with alloc. failures. class total free memory smaller than threshold 12582912. hold off started w/o triggering strategy specific pickVandRImp. v:18 r:12
hit ratio:0.724423,time:110283
hit ratio:0.724945,time:110970
hit ratio:0.725435,time:111643
hit ratio:0.725889,time:112307
hit ratio:0.726366,time:112970
hit ratio:0.726846,time:113627
hit ratio:0.727348,time:114270
hit ratio:0.727896,time:114894
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:18. r:19. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.728423,time:115510
hit ratio:0.728948,time:116124
hit ratio:0.729473,time:116724
hit ratio:0.729972,time:117305
hit ratio:0.730436,time:117897
hit ratio:0.730946,time:118476
hit ratio:0.731487,time:119042
hit ratio:0.732046,time:119593
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:18. r:19. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.732568,time:120143
hit ratio:0.733091,time:120686
hit ratio:0.733636,time:121213
hit ratio:0.734177,time:121753
hit ratio:0.734695,time:122295
hit ratio:0.735206,time:122833
hit ratio:0.735734,time:123358
hit ratio:0.736236,time:123891
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:18. r:19. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.736709,time:124445
hit ratio:0.73714,time:125010
alloc failed. 125051,864074957,635,9223372036854775807
RebStrtgy-pickVAndR...found class with alloc. failures. class total free memory smaller than threshold 12582912. hold off started w/o triggering strategy specific pickVandRImp. v:18 r:10
hit ratio:0.737578,time:125566
hit ratio:0.738,time:126120
hit ratio:0.738441,time:126691
hit ratio:0.738856,time:127291
hit ratio:0.739253,time:127896
hit ratio:0.739652,time:128525
hit ratio:0.739992,time:129168
hit ratio:0.740339,time:129821
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.74066,time:130476
hit ratio:0.740931,time:131153
hit ratio:0.741188,time:131866
hit ratio:0.74147,time:132608
hit ratio:0.741702,time:133400
hit ratio:0.741895,time:134221
hit ratio:0.742056,time:135077
hit ratio:0.742231,time:135990
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.742385,time:136968
hit ratio:0.742494,time:138012
hit ratio:0.742586,time:139153
hit ratio:0.74264,time:140361
hit ratio:0.742662,time:141679
hit ratio:0.742647,time:143082
hit ratio:0.742595,time:144600
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.742507,time:146262
hit ratio:0.74233,time:147978
hit ratio:0.742027,time:149766
hit ratio:0.741797,time:151575
hit ratio:0.741583,time:153328
hit ratio:0.741385,time:154943
hit ratio:0.741254,time:156414
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.741179,time:157787
hit ratio:0.741179,time:159047
hit ratio:0.741245,time:160246
hit ratio:0.741377,time:161369
hit ratio:0.74155,time:162419
hit ratio:0.741747,time:163401
hit ratio:0.741958,time:164345
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.742216,time:165273
hit ratio:0.742491,time:166170
hit ratio:0.742765,time:167055
hit ratio:0.743035,time:167920
hit ratio:0.743327,time:168773
hit ratio:0.743614,time:169615
hit ratio:0.743891,time:170446
hit ratio:0.744133,time:171241
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.744377,time:172025
hit ratio:0.744642,time:172814
hit ratio:0.744915,time:173611
hit ratio:0.745146,time:174411
hit ratio:0.745373,time:175200
hit ratio:0.745615,time:176000
hit ratio:0.745854,time:176800
hit ratio:0.746087,time:177606
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.746313,time:178410
hit ratio:0.746533,time:179198
hit ratio:0.746768,time:179987
hit ratio:0.747012,time:180777
hit ratio:0.747261,time:181553
hit ratio:0.747514,time:182336
hit ratio:0.74776,time:183102
hit ratio:0.748025,time:183872
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
alloc failed. 184361,18446744072531148787,155,9223372036854775807
RebStrtgy-pickVAndR...found class with alloc. failures. class total free memory smaller than threshold 12582912. hold off started w/o triggering strategy specific pickVandRImp. v:19 r:5
hit ratio:0.748256,time:184615
hit ratio:0.748478,time:185318
hit ratio:0.748683,time:186027
hit ratio:0.748904,time:186743
hit ratio:0.749161,time:187488
hit ratio:0.749389,time:188221
hit ratio:0.749612,time:188955
hit ratio:0.749816,time:189663
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.750035,time:190371
hit ratio:0.750257,time:191087
hit ratio:0.750454,time:191796
hit ratio:0.750657,time:192472
hit ratio:0.75086,time:193152
hit ratio:0.751064,time:193832
hit ratio:0.751274,time:194495
hit ratio:0.751475,time:195163
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.751688,time:195826
hit ratio:0.751895,time:196490
hit ratio:0.752103,time:197146
hit ratio:0.752315,time:197779
hit ratio:0.752509,time:198407
hit ratio:0.752695,time:199015
hit ratio:0.752869,time:199618
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.753039,time:200211
hit ratio:0.753221,time:200790
hit ratio:0.753417,time:201348
hit ratio:0.753594,time:201921
hit ratio:0.753774,time:202478
hit ratio:0.753951,time:203043
hit ratio:0.754133,time:203588
hit ratio:0.754309,time:204118
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.754482,time:204654
hit ratio:0.754666,time:205180
hit ratio:0.754854,time:205700
hit ratio:0.755011,time:206221
hit ratio:0.755207,time:206723
hit ratio:0.755402,time:207220
hit ratio:0.755592,time:207727
hit ratio:0.755765,time:208238
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.755939,time:208761
hit ratio:0.756139,time:209280
hit ratio:0.756325,time:209796
hit ratio:0.756495,time:210310
hit ratio:0.756667,time:210834
hit ratio:0.756832,time:211356
hit ratio:0.756992,time:211876
hit ratio:0.75715,time:212401
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.757297,time:212933
hit ratio:0.757425,time:213476
hit ratio:0.757561,time:214025
hit ratio:0.757688,time:214587
hit ratio:0.757791,time:215152
hit ratio:0.757902,time:215736
hit ratio:0.758001,time:216339
hit ratio:0.758095,time:216952
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.758183,time:217597
hit ratio:0.758261,time:218259
hit ratio:0.758332,time:218949
hit ratio:0.758376,time:219669
hit ratio:0.758427,time:220436
hit ratio:0.758453,time:221244
hit ratio:0.758458,time:222104
hit ratio:0.758457,time:223015
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.758431,time:223990
hit ratio:0.75839,time:225013
hit ratio:0.758317,time:226093
hit ratio:0.758194,time:227252
hit ratio:0.75803,time:228472
hit ratio:0.757868,time:229809
hit ratio:0.757703,time:231291
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.757508,time:232914
hit ratio:0.757268,time:234588
hit ratio:0.756959,time:236237
hit ratio:0.756696,time:237886
hit ratio:0.756462,time:239502
hit ratio:0.75624,time:241019
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.756054,time:242425
hit ratio:0.755908,time:243721
hit ratio:0.755771,time:244946
hit ratio:0.75566,time:246086
hit ratio:0.755598,time:247152
hit ratio:0.755561,time:248160
hit ratio:0.755531,time:249131
hit ratio:0.755527,time:250063
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.755514,time:250948
hit ratio:0.755501,time:251824
hit ratio:0.755525,time:252651
hit ratio:0.755558,time:253448
hit ratio:0.755602,time:254217
hit ratio:0.75564,time:254971
hit ratio:0.755671,time:255737
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.755725,time:256485
hit ratio:0.755783,time:257216
hit ratio:0.755858,time:257946
hit ratio:0.755912,time:258641
hit ratio:0.75596,time:259363
hit ratio:0.755998,time:260074
hit ratio:0.756054,time:260775
hit ratio:0.756108,time:261483
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.756145,time:262182
hit ratio:0.756198,time:262888
hit ratio:0.756262,time:263594
hit ratio:0.756337,time:264287
hit ratio:0.756404,time:264987
hit ratio:0.756459,time:265684
hit ratio:0.756525,time:266393
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.756576,time:267112
hit ratio:0.75663,time:267812
hit ratio:0.756693,time:268522
hit ratio:0.756757,time:269236
hit ratio:0.756829,time:269951
hit ratio:0.756864,time:270642
hit ratio:0.756917,time:271321
hit ratio:0.756959,time:272014
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.75702,time:272699
hit ratio:0.757067,time:273397
hit ratio:0.757128,time:274106
hit ratio:0.757195,time:274803
hit ratio:0.757253,time:275495
hit ratio:0.757316,time:276203
hit ratio:0.757388,time:276912
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.757459,time:277653
hit ratio:0.757506,time:278366
hit ratio:0.757569,time:279079
hit ratio:0.757613,time:279763
hit ratio:0.75768,time:280448
hit ratio:0.75772,time:281103
hit ratio:0.757785,time:281772
hit ratio:0.757854,time:282442
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.757936,time:283108
hit ratio:0.758013,time:283753
hit ratio:0.758069,time:284397
hit ratio:0.758115,time:285029
hit ratio:0.758144,time:285657
hit ratio:0.75818,time:286273
hit ratio:0.758216,time:286853
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.758239,time:287434
hit ratio:0.758248,time:288007
hit ratio:0.758262,time:288589
hit ratio:0.758301,time:289174
hit ratio:0.758356,time:289756
hit ratio:0.75843,time:290333
hit ratio:0.758499,time:290900
hit ratio:0.758568,time:291461
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.758636,time:292009
hit ratio:0.758703,time:292549
hit ratio:0.758772,time:293091
hit ratio:0.75883,time:293613
hit ratio:0.758898,time:294145
hit ratio:0.758974,time:294680
hit ratio:0.759042,time:295219
hit ratio:0.759122,time:295756
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.759219,time:296294
hit ratio:0.759294,time:296835
hit ratio:0.759374,time:297375
hit ratio:0.759453,time:297903
hit ratio:0.75953,time:298449
hit ratio:0.759603,time:299001
hit ratio:0.759695,time:299563
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.759784,time:300134
hit ratio:0.759862,time:300710
hit ratio:0.759943,time:301297
hit ratio:0.760019,time:301891
hit ratio:0.760099,time:302505
hit ratio:0.760171,time:303141
hit ratio:0.760225,time:303786
hit ratio:0.76026,time:304457
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.760276,time:305150
hit ratio:0.760289,time:305883
hit ratio:0.760276,time:306656
hit ratio:0.76026,time:307462
hit ratio:0.760227,time:308309
hit ratio:0.760178,time:309216
hit ratio:0.760125,time:310184
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.760059,time:311205
hit ratio:0.759996,time:312286
hit ratio:0.759906,time:313445
hit ratio:0.759761,time:314705
hit ratio:0.759578,time:316079
hit ratio:0.759395,time:317567
hit ratio:0.759177,time:319172
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.758928,time:320826
hit ratio:0.758654,time:322485
hit ratio:0.758407,time:324138
hit ratio:0.758184,time:325718
hit ratio:0.757956,time:327244
hit ratio:0.75774,time:328690
hit ratio:0.757533,time:329968
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.75736,time:331190
hit ratio:0.757199,time:332325
hit ratio:0.757053,time:333372
hit ratio:0.75694,time:334376
hit ratio:0.756834,time:335349
hit ratio:0.756742,time:336257
hit ratio:0.756675,time:337187
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.75661,time:338091
hit ratio:0.756561,time:338973
hit ratio:0.756517,time:339800
hit ratio:0.756458,time:340628
hit ratio:0.756389,time:341454
hit ratio:0.756337,time:342291
hit ratio:0.756287,time:343084
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.75626,time:343900
hit ratio:0.756247,time:344712
hit ratio:0.756213,time:345484
hit ratio:0.756178,time:346273
hit ratio:0.756142,time:347042
hit ratio:0.756084,time:347779
hit ratio:0.756034,time:348524
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.755996,time:349296
hit ratio:0.755944,time:350039
hit ratio:0.755881,time:350771
hit ratio:0.755823,time:351486
hit ratio:0.755741,time:352182
hit ratio:0.755661,time:352874
hit ratio:0.755578,time:353551
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.755496,time:354220
hit ratio:0.755434,time:354888
hit ratio:0.755365,time:355554
hit ratio:0.755314,time:356233
hit ratio:0.755247,time:356914
hit ratio:0.7552,time:357599
hit ratio:0.755158,time:358282
hit ratio:0.755114,time:358970
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.755062,time:359654
hit ratio:0.755029,time:360363
hit ratio:0.75499,time:361061
hit ratio:0.754938,time:361741
hit ratio:0.754899,time:362430
hit ratio:0.754859,time:363143
hit ratio:0.754819,time:363886
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.75478,time:364611
hit ratio:0.754752,time:365345
hit ratio:0.754744,time:366056
hit ratio:0.754724,time:366767
hit ratio:0.754699,time:367466
hit ratio:0.754702,time:368172
hit ratio:0.754706,time:368884
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.754704,time:369566
hit ratio:0.754706,time:370261
hit ratio:0.7547,time:370958
hit ratio:0.754706,time:371651
hit ratio:0.754683,time:372323
hit ratio:0.7547,time:372991
hit ratio:0.75472,time:373641
hit ratio:0.754752,time:374308
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.754782,time:374953
hit ratio:0.754802,time:375588
hit ratio:0.754813,time:376205
hit ratio:0.754844,time:376817
hit ratio:0.754866,time:377424
hit ratio:0.754899,time:378025
hit ratio:0.75495,time:378612
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.75498,time:379204
hit ratio:0.755018,time:379778
hit ratio:0.755054,time:380354
hit ratio:0.755087,time:380919
hit ratio:0.755128,time:381481
hit ratio:0.755183,time:382050
hit ratio:0.75525,time:382629
hit ratio:0.755296,time:383197
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.755351,time:383767
hit ratio:0.755402,time:384327
hit ratio:0.755455,time:384897
hit ratio:0.75549,time:385468
hit ratio:0.75552,time:386043
hit ratio:0.755552,time:386632
hit ratio:0.755585,time:387222
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.755602,time:387822
hit ratio:0.755612,time:388437
hit ratio:0.755611,time:389071
hit ratio:0.755609,time:389716
hit ratio:0.755587,time:390390
hit ratio:0.755574,time:391088
hit ratio:0.75555,time:391805
hit ratio:0.755516,time:392529
RebStrtgy-pickVAndR...triggering pickVandRImp.
LTAS-pickVAndRImpl...class total free memory smaller than threshold 12582912. v:19. r:18. invalid ctx. vPTA: 0rTA: 0 .improv. < minTailAgeDifference. 
hit ratio:0.755481,time:393329
hit ratio:0.755429,time:394184
hit ratio:0.755364,time:395091
hit ratio:0.755289,time:396050
hit ratio:0.755177,time:397076
hit ratio:0.754969,time:398076
hit ratio:0.754752,time:399138
RebStrtgy-pickVAndR...triggering pickVandRImp.
